TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T000037,2025-02-20,Laptop,Electronics,East,Offline,4,55664,222656,Credit Card,C00899
T000038,2025-12-30,Smartphone,Electronics,West,Offline,4,38323,153292,Credit Card,C01688
T000039,2025-02-24,Gaming Chair,Furniture,West,Online,4,29501,118004,UPI,C00972
T000040,2025-09-01,Gaming Chair,Furniture,South,Online,2,13379,26758,Net Banking,C01351
T000041,2025-11-16,Laptop,Electronics,North,Online,1,94353,94353,Credit Card,C01832
T000042,2025-05-11,Camera,Electronics,North,Online,3,87660,262980,Credit Card,C01489
T000043,2025-11-03,Camera,Electronics,East,Online,3,51536,154608,UPI,C02482
T000044,2025-05-15,Printer,Electronics,East,Offline,2,10991,21982,Cash,C00330
T000045,2025-01-21,Webcam,Accessories,West,Offline,1,8294,8294,Credit Card,C01143
T000046,2025-11-25,Camera,Electronics,North,Offline,1,48359,48359,Credit Card,C00021
T000047,2025-06-16,Webcam,Accessories,West,Online,2,3872,7744,Cash,C02069
T000048,2025-10-01,Power Bank,Accessories,South,Online,5,950,4750,Net Banking,C00316
T000049,2025-03-30,Gaming Chair,Furniture,South,Online,5,23905,119525,Net Banking,C00618
T000050,2025-11-12,Router,Networking,West,Online,1,3159,3159,Cash,C00745
T000051,2025-01-14,Monitor,Electronics,West,Offline,5,30523,152615,Net Banking,C01089
T000052,2025-08-30,Webcam,Accessories,West,Online,5,8699,43495,Credit Card,C00149
T000053,2025-09-22,Mouse,Accessories,West,Offline,5,2719,13595,Net Banking,C01207
T000054,2025-12-12,Webcam,Accessories,West,Offline,1,4383,4383,Credit Card,C00282
T000055,2025-02-22,Tablet,Electronics,South,Online,5,24133,120665,UPI,C00113
T000056,2025-12-06,Monitor,Electronics,South,Offline,3,32187,96561,Cash,C01237
T000057,2025-04-02,Smartphone,Electronics,South,Offline,1,43571,43571,Credit Card,C01070
T000058,2025-09-21,Smartphone,Electronics,East,Online,2,41991,83982,Net Banking,C02494
T000059,2025-02-04,Speaker,Accessories,South,Offline,5,3015,15075,Credit Card,C01094
T000060,2025-07-25,Camera,Electronics,North,Online,4,69741,278964,Net Banking,C02230
T000061,2025-03-22,Tablet,Electronics,North,Offline,1,43355,43355,Credit Card,C01197
T000062,2025-02-19,Mouse,Accessories,West,Online,2,1791,3582,Credit Card,C00981
T000063,2025-12-26,Laptop,Electronics,South,Online,3,56223,168669,Net Banking,C02358
T000064,2025-01-02,Monitor,Electronics,West,Online,2,22197,44394,UPI,C01247
T000065,2025-02-23,Power Bank,Accessories,West,Offline,5,1995,9975,Cash,C01964
T000066,2025-04-16,Mouse,Accessories,North,Online,4,657,2628,Credit Card,C00343
T000067,2025-09-17,Headphones,Accessories,North,Online,5,11518,57590,UPI,C01144
T000068,2025-11-06,Gaming Chair,Furniture,West,Online,2,22839,45678,Cash,C02082
T000069,2025-07-10,Webcam,Accessories,North,Online,1,4105,4105,Cash,C01972
T000070,2025-08-06,Smartwatch,Accessories,West,Offline,4,4538,18152,UPI,C00390
T000071,2025-02-13,Camera,Electronics,West,Offline,4,61525,246100,UPI,C00289
T000072,2025-06-11,Router,Networking,West,Offline,2,3256,6512,Net Banking,C00971
T000073,2025-07-21,Laptop,Electronics,East,Offline,5,78651,393255,UPI,C00567
T000074,2025-09-27,Headphones,Accessories,North,Offline,2,2360,4720,Cash,C00765
T000075,2025-12-17,Webcam,Accessories,North,Offline,4,3873,15492,Cash,C00556
T000076,2025-10-31,Laptop,Electronics,South,Offline,2,83963,167926,Cash,C01124
T000077,2025-09-28,Laptop,Electronics,North,Online,4,68515,274060,Credit Card,C01052
T000078,2025-08-03,Camera,Electronics,South,Online,5,42027,210135,Cash,C00576
T000079,2025-09-09,Laptop,Electronics,West,Offline,1,63792,63792,UPI,C00816
T000080,2025-07-09,Mouse,Accessories,East,Offline,1,1967,1967,Net Banking,C02363
T000081,2025-10-23,Mouse,Accessories,West,Offline,2,2767,5534,UPI,C00979
T000082,2025-08-01,Headphones,Accessories,West,Online,4,4343,17372,UPI,C01851
T000083,2025-07-27,Webcam,Accessories,West,Offline,1,8781,8781,Cash,C00683
T000084,2025-08-25,Router,Networking,South,Offline,4,4597,18388,UPI,C01264
T000085,2025-12-04,Power Bank,Accessories,East,Online,5,2060,10300,UPI,C00781
T000086,2025-02-22,Smartphone,Electronics,West,Online,2,49101,98202,UPI,C00504
T000087,2025-10-07,Power Bank,Accessories,South,Online,4,4136,16544,Credit Card,C01443
T000088,2025-08-05,Tablet,Electronics,West,Offline,2,18157,36314,UPI,C00405
T000089,2025-09-09,Monitor,Electronics,East,Offline,4,27468,109872,UPI,C01898
T000090,2025-07-07,Router,Networking,West,Offline,4,4887,19548,Credit Card,C02202
T000091,2025-02-10,Monitor,Electronics,West,Online,5,12713,63565,Credit Card,C02262
T000092,2025-06-06,Speaker,Accessories,North,Offline,2,9305,18610,UPI,C01383
T000093,2025-01-15,Speaker,Accessories,South,Online,3,6601,19803,UPI,C01780
T000094,2025-10-28,Keyboard,Accessories,East,Online,4,3131,12524,UPI,C01371
T000095,2025-03-06,Webcam,Accessories,South,Online,4,2516,10064,Credit Card,C02390
T000096,2025-12-11,Camera,Electronics,North,Offline,1,40446,40446,Credit Card,C02471
T000097,2025-11-23,Printer,Electronics,West,Online,2,14507,29014,Credit Card,C01463
T000098,2025-01-09,Speaker,Accessories,East,Online,3,11995,35985,Cash,C02292
T000099,2025-12-10,Power Bank,Accessories,East,Online,5,1240,6200,Cash,C01707
T000100,2025-05-09,Printer,Electronics,South,Online,3,23522,70566,Net Banking,C00554
T000101,2025-05-16,Headphones,Accessories,West,Offline,5,10106,50530,UPI,C01978
T000102,2025-03-04,Power Bank,Accessories,North,Online,3,3103,9309,Net Banking,C01804
T000103,2025-05-19,Laptop,Electronics,West,Offline,3,97754,293262,Credit Card,C00716
T000104,2025-03-22,Laptop,Electronics,South,Offline,2,80413,160826,Credit Card,C00200
T000105,2025-06-12,Webcam,Accessories,East,Online,1,7450,7450,Credit Card,C01009
T000106,2025-10-16,Power Bank,Accessories,East,Offline,3,4221,12663,Cash,C01224
T000107,2025-09-18,Camera,Electronics,West,Online,4,54968,219872,Credit Card,C01317
T000108,2025-08-19,Webcam,Accessories,West,Offline,4,6051,24204,UPI,C02328
T000109,2025-02-10,Smartwatch,Accessories,West,Online,4,10227,40908,Credit Card,C01168
T000110,2025-01-28,Gaming Chair,Furniture,West,Offline,1,17009,17009,Credit Card,C01604
T000111,2025-05-15,Router,Networking,North,Offline,3,7529,22587,Cash,C01338
T000112,2025-07-20,Smartphone,Electronics,North,Online,5,61876,309380,Cash,C00993
T000113,2025-11-24,Webcam,Accessories,North,Online,5,3446,17230,UPI,C02101
T000114,2025-09-25,Keyboard,Accessories,North,Online,2,4656,9312,UPI,C02422
T000115,2025-02-02,Mouse,Accessories,South,Online,1,655,655,Credit Card,C00036
T000116,2025-02-17,Laptop,Electronics,East,Offline,3,90483,271449,UPI,C01165
T000117,2025-03-03,Keyboard,Accessories,East,Offline,4,4025,16100,UPI,C00947
T000118,2025-08-04,Monitor,Electronics,South,Online,1,16699,16699,Cash,C01212
T000119,2025-10-20,Power Bank,Accessories,South,Online,1,4545,4545,Credit Card,C00718
T000120,2025-04-09,Smartwatch,Accessories,North,Online,3,14308,42924,UPI,C00618
T000121,2025-06-21,Gaming Chair,Furniture,West,Online,2,20069,40138,Credit Card,C00623
T000122,2025-12-26,Power Bank,Accessories,East,Online,2,1259,2518,Credit Card,C00179
T000123,2025-08-02,Mouse,Accessories,South,Offline,2,2407,4814,Credit Card,C01038
T000124,2025-02-04,Camera,Electronics,West,Offline,4,33489,133956,Cash,C00683
T000125,2025-08-15,Keyboard,Accessories,North,Online,4,2105,8420,UPI,C01689
T000126,2025-04-11,Headphones,Accessories,South,Online,3,7090,21270,Net Banking,C02082
T000127,2025-05-11,Webcam,Accessories,East,Online,2,8787,17574,UPI,C00710
T000128,2025-09-14,Webcam,Accessories,East,Offline,3,3536,10608,Net Banking,C01976
T000129,2025-01-05,Mouse,Accessories,East,Offline,2,2338,4676,UPI,C02236
T000130,2025-08-06,Camera,Electronics,South,Offline,1,88213,88213,Credit Card,C01840
T000131,2025-09-12,Printer,Electronics,East,Online,5,28528,142640,Cash,C00328
T000132,2025-12-25,Camera,Electronics,North,Offline,5,54512,272560,Cash,C00717
T000133,2025-10-10,Camera,Electronics,East,Online,2,21177,42354,UPI,C02339
T000134,2025-07-26,Router,Networking,North,Online,3,2261,6783,UPI,C02145
T000135,2025-01-15,Mouse,Accessories,East,Offline,4,1082,4328,UPI,C01901
T000136,2025-12-12,Power Bank,Accessories,North,Online,2,3154,6308,Credit Card,C00492
T000137,2025-02-11,Gaming Chair,Furniture,South,Online,2,29098,58196,UPI,C00801
T000138,2025-06-28,Smartwatch,Accessories,North,Online,4,11735,46940,Credit Card,C00115
T000139,2025-03-04,Mouse,Accessories,South,Online,2,2333,4666,Credit Card,C00310
T000140,2025-12-18,Tablet,Electronics,West,Online,1,38433,38433,Cash,C01216
T000141,2025-08-19,Smartphone,Electronics,North,Online,4,22179,88716,UPI,C01702
T000142,2025-08-29,Speaker,Accessories,South,Online,1,13709,13709,Credit Card,C00806
T000143,2025-02-21,Webcam,Accessories,West,Offline,5,5944,29720,Cash,C00112
T000144,2025-04-06,Smartwatch,Accessories,East,Online,4,4964,19856,Cash,C01893
T000145,2025-08-10,Headphones,Accessories,West,Offline,4,10222,40888,Credit Card,C01327
T000146,2025-08-19,Smartwatch,Accessories,North,Online,3,14811,44433,UPI,C01918
T000147,2025-08-25,Monitor,Electronics,West,Offline,3,18067,54201,Credit Card,C02404
T000148,2025-05-23,Power Bank,Accessories,East,Online,4,1389,5556,UPI,C01834
T000149,2025-06-20,Headphones,Accessories,West,Offline,5,11472,57360,Cash,C01126
T000150,2025-01-29,Webcam,Accessories,North,Offline,2,4601,9202,Cash,C01591
T000151,2025-02-05,Printer,Electronics,North,Online,3,9897,29691,Net Banking,C00315
T000152,2025-01-13,Mouse,Accessories,South,Offline,5,2243,11215,UPI,C02242
T000153,2025-06-09,Camera,Electronics,East,Offline,5,81495,407475,UPI,C01974
T000154,2025-11-23,Router,Networking,East,Online,3,7653,22959,Credit Card,C01843
T000155,2025-07-06,Power Bank,Accessories,West,Offline,2,2738,5476,Credit Card,C01431
T000156,2025-08-31,Mouse,Accessories,East,Offline,3,2594,7782,UPI,C01316
T000157,2025-03-27,Webcam,Accessories,North,Online,5,9944,49720,Cash,C01208
T000158,2025-10-11,Router,Networking,West,Online,1,6872,6872,Net Banking,C01664
T000159,2025-03-07,Router,Networking,South,Offline,3,2966,8898,Cash,C00979
T000160,2025-06-19,Monitor,Electronics,West,Online,5,25119,125595,Cash,C00611
T000161,2025-02-14,Power Bank,Accessories,West,Offline,3,1139,3417,Cash,C01490
T000162,2025-03-03,Keyboard,Accessories,South,Offline,5,4287,21435,UPI,C00204
T000163,2025-05-14,Monitor,Electronics,West,Online,2,25760,51520,Credit Card,C02453
T000164,2025-10-11,Tablet,Electronics,East,Online,5,31103,155515,Net Banking,C01400
T000165,2025-01-28,Camera,Electronics,West,Offline,4,89260,357040,Cash,C02268
T000166,2025-04-18,Camera,Electronics,West,Online,1,73570,73570,UPI,C01373
T000167,2025-02-13,Gaming Chair,Furniture,West,Online,5,29643,148215,Cash,C01447
T000168,2025-12-06,Laptop,Electronics,North,Offline,3,76044,228132,UPI,C01257
T000169,2025-10-13,Keyboard,Accessories,North,Offline,3,2842,8526,Credit Card,C02348
T000170,2025-11-27,Laptop,Electronics,East,Offline,5,83320,416600,UPI,C01011
T000171,2025-05-08,Printer,Electronics,South,Online,4,9491,37964,Cash,C01695
T000172,2025-12-14,Gaming Chair,Furniture,North,Online,5,8789,43945,Cash,C00920
T000173,2025-08-19,Smartphone,Electronics,North,Offline,2,48941,97882,Credit Card,C02474
T000174,2025-07-09,Speaker,Accessories,East,Offline,4,2052,8208,UPI,C00978
T000175,2025-08-13,Smartphone,Electronics,East,Online,5,34806,174030,Credit Card,C00234
T000176,2025-10-10,Mouse,Accessories,South,Offline,1,515,515,Credit Card,C02138
T000177,2025-05-01,Smartphone,Electronics,West,Online,4,23823,95292,Credit Card,C01928
T000178,2025-04-26,Camera,Electronics,West,Online,5,51980,259900,Credit Card,C00755
T000179,2025-08-21,Monitor,Electronics,South,Online,1,24653,24653,UPI,C01441
T000180,2025-09-16,Keyboard,Accessories,South,Online,5,1560,7800,Credit Card,C02500
T000181,2025-12-25,Gaming Chair,Furniture,South,Offline,2,8290,16580,Credit Card,C01958
T000182,2025-07-17,Mouse,Accessories,East,Online,3,1857,5571,Cash,C01494
T000183,2025-05-17,Mouse,Accessories,West,Online,5,2456,12280,Cash,C00932
T000184,2025-11-14,Keyboard,Accessories,South,Offline,4,1329,5316,Cash,C00048
T000185,2025-06-14,Camera,Electronics,South,Offline,5,36186,180930,Cash,C02271
T000186,2025-08-13,Speaker,Accessories,West,Online,5,7443,37215,Cash,C01672
T000187,2025-11-03,Printer,Electronics,West,Offline,5,22858,114290,Cash,C00466
T000188,2025-08-22,Router,Networking,East,Offline,5,6132,30660,UPI,C02019
T000189,2025-06-21,Printer,Electronics,North,Offline,4,10080,40320,Credit Card,C01084
T000190,2025-06-01,Webcam,Accessories,North,Offline,4,3260,13040,Net Banking,C01304
T000191,2025-11-11,Mouse,Accessories,East,Online,5,1012,5060,Credit Card,C02065
T000192,2025-06-09,Printer,Electronics,East,Online,3,29304,87912,UPI,C00679
T000193,2025-04-06,Router,Networking,West,Offline,5,5474,27370,Cash,C01999
T000194,2025-08-21,Camera,Electronics,East,Offline,4,88934,355736,Credit Card,C01591
T000195,2025-06-29,Tablet,Electronics,East,Online,2,40625,81250,UPI,C00829
T000196,2025-04-23,Tablet,Electronics,South,Online,5,20515,102575,UPI,C01567
T000197,2025-11-14,Laptop,Electronics,East,Offline,5,64705,323525,Cash,C01125
T000198,2025-02-21,Smartwatch,Accessories,East,Online,5,5561,27805,Cash,C01568
T000199,2025-09-25,Webcam,Accessories,South,Online,5,5344,26720,Credit Card,C00206
T000200,2025-10-22,Headphones,Accessories,West,Online,1,11607,11607,Net Banking,C01806
T000201,2025-04-23,Smartphone,Electronics,West,Online,5,67956,339780,UPI,C00480
T000202,2025-04-11,Printer,Electronics,East,Online,4,19018,76072,Cash,C02121
T000203,2025-04-23,Tablet,Electronics,East,Online,4,19816,79264,UPI,C01462
T000204,2025-03-22,Webcam,Accessories,North,Online,1,3008,3008,Cash,C01715
T000205,2025-07-06,Monitor,Electronics,South,Offline,5,28494,142470,UPI,C01438
T000206,2025-04-23,Keyboard,Accessories,North,Offline,3,703,2109,Cash,C01943
T000207,2025-01-02,Gaming Chair,Furniture,East,Offline,5,11447,57235,Cash,C00771
T000208,2025-05-10,Router,Networking,North,Offline,4,6988,27952,Credit Card,C00067
T000209,2025-08-08,Smartwatch,Accessories,North,Offline,2,7584,15168,Net Banking,C01446
T000210,2025-02-23,Laptop,Electronics,West,Online,2,77156,154312,UPI,C02419
T000211,2025-12-09,Headphones,Accessories,South,Online,3,4791,14373,UPI,C00364
T000212,2025-08-12,Tablet,Electronics,West,Online,5,31465,157325,Cash,C00400
T000213,2025-08-13,Laptop,Electronics,West,Online,1,92120,92120,Credit Card,C00260
T000214,2025-05-06,Power Bank,Accessories,North,Online,5,1633,8165,UPI,C01069
T000215,2025-05-10,Webcam,Accessories,South,Offline,3,6835,20505,UPI,C01933
T000216,2025-02-22,Smartwatch,Accessories,East,Online,3,8260,24780,Net Banking,C00898
T000217,2025-06-21,Keyboard,Accessories,South,Online,3,1902,5706,Credit Card,C01311
T000218,2025-08-06,Smartphone,Electronics,West,Offline,2,30605,61210,UPI,C02363
T000219,2025-06-09,Webcam,Accessories,North,Online,5,3675,18375,UPI,C01443
T000220,2025-07-17,Gaming Chair,Furniture,East,Offline,5,17573,87865,Credit Card,C01329
T000221,2025-09-04,Tablet,Electronics,West,Online,1,30557,30557,Cash,C00229
T000222,2025-11-20,Speaker,Accessories,North,Online,3,4288,12864,Credit Card,C00750
T000223,2025-07-22,Gaming Chair,Furniture,West,Offline,3,19013,57039,UPI,C01210
T000224,2025-07-03,Webcam,Accessories,North,Offline,4,8221,32884,Net Banking,C01971
T000225,2025-05-03,Keyboard,Accessories,South,Online,4,4891,19564,Net Banking,C02166
T000226,2025-09-12,Headphones,Accessories,West,Offline,2,8312,16624,UPI,C00126
T000227,2025-10-21,Printer,Electronics,South,Offline,5,20912,104560,Cash,C00132
T000228,2025-10-07,Smartwatch,Accessories,South,Online,1,6616,6616,UPI,C01726
T000229,2025-11-21,Headphones,Accessories,North,Offline,1,1995,1995,Net Banking,C01617
T000230,2025-04-08,Smartphone,Electronics,East,Offline,3,48124,144372,UPI,C01898
T000231,2025-07-17,Keyboard,Accessories,South,Online,1,885,885,Cash,C00346
T000232,2025-08-28,Camera,Electronics,West,Offline,3,87229,261687,Net Banking,C01963
T000233,2025-05-24,Smartphone,Electronics,West,Offline,5,17590,87950,UPI,C02132
T000234,2025-04-07,Power Bank,Accessories,North,Online,1,2142,2142,Net Banking,C02090
T000235,2025-07-20,Router,Networking,South,Offline,3,3191,9573,Net Banking,C02483
T000236,2025-05-04,Mouse,Accessories,East,Offline,5,1482,7410,Cash,C01190
T000237,2025-07-06,Tablet,Electronics,East,Online,5,12904,64520,Net Banking,C01451
T000238,2025-11-22,Printer,Electronics,West,Offline,3,17387,52161,UPI,C02096
T000239,2025-12-15,Speaker,Accessories,North,Online,3,5951,17853,Credit Card,C01066
T000240,2025-09-16,Smartwatch,Accessories,South,Online,2,13609,27218,UPI,C00185
T000241,2025-05-28,Monitor,Electronics,West,Offline,5,14937,74685,Cash,C01846
T000242,2025-09-09,Speaker,Accessories,North,Online,3,3880,11640,Credit Card,C01256
T000243,2025-12-12,Keyboard,Accessories,East,Offline,5,716,3580,Net Banking,C00401
T000244,2025-05-27,Gaming Chair,Furniture,West,Online,1,23783,23783,Credit Card,C01715
T000245,2025-05-28,Power Bank,Accessories,North,Online,4,1123,4492,Net Banking,C01161
T000246,2025-12-18,Camera,Electronics,East,Offline,4,22070,88280,Credit Card,C01748
T000247,2025-07-18,Monitor,Electronics,North,Offline,3,25314,75942,Cash,C01544
T000248,2025-11-04,Router,Networking,West,Offline,3,6054,18162,Cash,C01257
T000249,2025-05-08,Router,Networking,South,Offline,5,7079,35395,UPI,C01983
T000250,2025-02-08,Speaker,Accessories,North,Online,3,14344,43032,Credit Card,C01392
T000251,2025-12-04,Power Bank,Accessories,South,Offline,5,2244,11220,Net Banking,C01976
T000252,2025-12-26,Tablet,Electronics,West,Online,3,34978,104934,UPI,C00971
T000253,2025-05-09,Tablet,Electronics,East,Online,5,30936,154680,UPI,C02415
T000254,2025-09-24,Smartwatch,Accessories,North,Online,3,19905,59715,Credit Card,C02309
T000255,2025-05-31,Speaker,Accessories,East,Offline,2,4598,9196,Cash,C01088
T000256,2025-10-25,Camera,Electronics,South,Online,5,47020,235100,Net Banking,C02404
T000257,2025-04-09,Tablet,Electronics,South,Online,2,28952,57904,Credit Card,C01575
T000258,2025-09-20,Monitor,Electronics,East,Online,2,18985,37970,Credit Card,C01393
T000259,2025-09-09,Camera,Electronics,West,Online,2,28283,56566,Cash,C01516
T000260,2025-05-24,Router,Networking,South,Offline,2,7720,15440,Net Banking,C00405
T000261,2025-12-12,Power Bank,Accessories,West,Online,1,2553,2553,Cash,C01956
T000262,2025-04-22,Gaming Chair,Furniture,East,Online,4,13054,52216,Cash,C02066
T000263,2025-03-01,Monitor,Electronics,West,Online,1,21276,21276,UPI,C00368
T000264,2025-01-02,Smartphone,Electronics,South,Online,3,69044,207132,Net Banking,C01281
T000265,2025-10-31,Power Bank,Accessories,East,Online,3,887,2661,Credit Card,C00221
T000266,2025-09-11,Headphones,Accessories,West,Online,4,2641,10564,Credit Card,C02321
T000267,2025-05-20,Camera,Electronics,West,Offline,4,59678,238712,Credit Card,C01271
T000268,2025-02-06,Router,Networking,North,Online,4,6673,26692,Credit Card,C01594
T000269,2025-06-09,Laptop,Electronics,South,Offline,2,76527,153054,Cash,C01271
T000270,2025-01-09,Headphones,Accessories,North,Offline,1,11482,11482,Credit Card,C00173
T000271,2025-08-21,Power Bank,Accessories,West,Online,3,4637,13911,Cash,C01352
T000272,2025-04-09,Router,Networking,South,Online,1,2123,2123,Cash,C00123
T000273,2025-05-27,Router,Networking,East,Offline,1,5257,5257,Cash,C01753
T000274,2025-10-31,Speaker,Accessories,East,Online,1,6296,6296,Net Banking,C00636
T000275,2025-07-27,Router,Networking,East,Online,4,4792,19168,Credit Card,C01255
T000276,2025-05-11,Headphones,Accessories,West,Online,4,4832,19328,Cash,C01336
T000277,2025-06-01,Camera,Electronics,West,Offline,3,88147,264441,Credit Card,C01500
T000278,2025-02-23,Printer,Electronics,East,Offline,3,14353,43059,Cash,C00501
T000279,2025-04-30,Webcam,Accessories,North,Online,3,9728,29184,UPI,C01657
T000280,2025-06-10,Tablet,Electronics,North,Online,1,35421,35421,UPI,C02369
T000281,2025-04-26,Webcam,Accessories,South,Online,4,8266,33064,Cash,C01897
T000282,2025-03-16,Smartphone,Electronics,South,Online,2,69448,138896,Net Banking,C02109
T000283,2025-04-23,Printer,Electronics,East,Online,1,9346,9346,UPI,C01162
T000284,2025-04-14,Printer,Electronics,West,Offline,5,10054,50270,Credit Card,C00126
T000285,2025-12-06,Laptop,Electronics,West,Online,1,98760,98760,Credit Card,C00192
T000286,2025-09-11,Keyboard,Accessories,South,Online,4,4900,19600,UPI,C01970
T000287,2025-08-15,Camera,Electronics,East,Online,5,67259,336295,Net Banking,C02241
T000288,2025-04-22,Monitor,Electronics,South,Online,1,16527,16527,Cash,C00589
T000289,2025-04-09,Tablet,Electronics,North,Offline,4,20535,82140,Credit Card,C00743
T000290,2025-06-02,Speaker,Accessories,East,Online,4,3060,12240,Net Banking,C02431
T000291,2025-12-15,Printer,Electronics,East,Online,2,13522,27044,Credit Card,C01117
T000292,2025-12-04,Smartphone,Electronics,East,Online,1,60941,60941,UPI,C00826
T000293,2025-07-13,Keyboard,Accessories,North,Online,4,4864,19456,Credit Card,C01704
T000294,2025-11-06,Laptop,Electronics,East,Offline,3,80022,240066,Credit Card,C01154
T000295,2025-06-12,Router,Networking,South,Online,4,5746,22984,Cash,C02273
T000296,2025-07-27,Mouse,Accessories,North,Online,2,1061,2122,UPI,C01752
T000297,2025-06-18,Tablet,Electronics,West,Online,4,14852,59408,Credit Card,C02060
T000298,2025-06-10,Mouse,Accessories,South,Offline,1,2899,2899,UPI,C02396
T000299,2025-03-09,Headphones,Accessories,South,Offline,1,7713,7713,Credit Card,C02122
T000300,2025-10-16,Printer,Electronics,South,Offline,5,9183,45915,Cash,C01135
T000301,2025-10-04,Smartwatch,Accessories,North,Online,1,10032,10032,Cash,C01506
T000302,2025-10-31,Tablet,Electronics,South,Offline,5,24275,121375,UPI,C02245
T000303,2025-05-15,Webcam,Accessories,North,Online,3,3909,11727,UPI,C02239
T000304,2025-07-14,Monitor,Electronics,East,Online,2,12298,24596,Credit Card,C01810
T000305,2025-05-08,Keyboard,Accessories,West,Offline,3,3234,9702,Credit Card,C01990
T000306,2025-02-02,Smartphone,Electronics,East,Online,5,20599,102995,Net Banking,C00494
T000307,2025-06-25,Tablet,Electronics,South,Online,4,42771,171084,Cash,C02308
T000308,2025-01-22,Monitor,Electronics,North,Online,4,21440,85760,Cash,C00169
T000309,2025-08-26,Webcam,Accessories,North,Online,3,1526,4578,Credit Card,C00177
T000310,2025-06-07,Camera,Electronics,East,Online,4,86500,346000,Net Banking,C01169
T000311,2025-02-07,Mouse,Accessories,South,Offline,5,2511,12555,Net Banking,C00587
T000312,2025-08-18,Camera,Electronics,West,Online,2,69223,138446,Credit Card,C00055
T000313,2025-12-31,Keyboard,Accessories,North,Offline,1,3647,3647,UPI,C00136
T000314,2025-02-20,Gaming Chair,Furniture,North,Offline,5,18507,92535,Net Banking,C01047
T000315,2025-09-21,Laptop,Electronics,South,Online,5,94857,474285,Cash,C00538
T000316,2025-10-10,Printer,Electronics,North,Online,1,12238,12238,Cash,C02210
T000317,2025-01-27,Tablet,Electronics,South,Offline,1,23156,23156,Cash,C02208
T000318,2025-08-14,Gaming Chair,Furniture,South,Offline,2,10411,20822,Credit Card,C01729
T000319,2025-10-04,Smartwatch,Accessories,West,Online,2,17674,35348,UPI,C01401
